                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    127,                 1.3617,                0.70409,                0.86218,                0.90433,                0.84901,                0.89846,                0.45257,                 1.6452,                0.76235,                0.92573,              0.0005875,              0.0005875,              0.0005875
                    128,                 1.3875,                0.71201,                0.85933,                0.93929,                0.84571,                0.90005,                 0.4582,                 1.6541,                0.74492,                0.92853,              0.0005842,              0.0005842,              0.0005842
                    129,                  1.357,                0.69961,                0.85766,                0.95237,                0.84603,                0.89253,                0.43806,                 1.7219,                0.75267,                0.94891,              0.0005809,              0.0005809,              0.0005809
                    130,                 1.3969,                0.71897,                0.86332,                 0.9347,                0.86626,                0.90473,                0.43648,                 1.7306,                0.74278,                0.95027,              0.0005776,              0.0005776,              0.0005776
                    131,                 1.3902,                0.70552,                0.85424,                0.95161,                0.84438,                0.90677,                0.45247,                 1.6545,                0.75815,                 0.9311,              0.0005743,              0.0005743,              0.0005743
                    132,                 1.3674,                0.70502,                0.85744,                0.95836,                0.83726,                0.91631,                0.47446,                  1.641,                 0.7516,                0.93036,               0.000571,               0.000571,               0.000571
                    133,                 1.3569,                0.70656,                0.85485,                0.89669,                0.86758,                0.89755,                0.44988,                 1.6342,                0.74743,                0.92908,              0.0005677,              0.0005677,              0.0005677
                    134,                  1.346,                0.68435,                0.85891,                0.92249,                0.85953,                 0.9045,                0.46238,                  1.641,                0.75688,                0.92951,              0.0005644,              0.0005644,              0.0005644
                    135,                 1.3803,                0.70898,                 0.8626,                0.94207,                0.85642,                 0.9085,                0.46197,                 1.7244,                0.77415,                0.94036,              0.0005611,              0.0005611,              0.0005611
                    136,                 1.3441,                0.70441,                 0.8513,                0.87179,                0.83637,                0.88224,                0.41563,                 1.8051,                0.80297,                0.95277,              0.0005578,              0.0005578,              0.0005578
                    137,                 1.3804,                0.71185,                0.85766,                0.89478,                0.87736,                0.90909,                0.44871,                 1.7138,                0.74729,                0.93371,              0.0005545,              0.0005545,              0.0005545
                    138,                 1.3353,                0.68774,                0.84971,                0.94473,                0.83748,                0.90371,                0.43942,                 1.7427,                0.74963,                 0.9441,              0.0005512,              0.0005512,              0.0005512
                    139,                 1.3414,                0.68594,                0.85502,                0.94362,                0.84084,                0.89342,                0.45004,                 1.7174,                0.75092,                0.94457,              0.0005479,              0.0005479,              0.0005479
                    140,                 1.3521,                0.68786,                0.85533,                0.93579,                0.82176,                0.87604,                0.42878,                 1.7328,                0.76588,                0.94617,              0.0005446,              0.0005446,              0.0005446
                    141,                 1.2955,                0.69121,                0.85167,                0.92118,                0.85775,                 0.9053,                0.44122,                 1.7461,                 0.7378,                0.95597,              0.0005413,              0.0005413,              0.0005413
                    142,                 1.3524,                0.69917,                 0.8513,                 0.8853,                0.85141,                0.89034,                 0.4265,                 1.7508,                  0.742,                0.95517,               0.000538,               0.000538,               0.000538
                    143,                 1.3472,                0.69935,                0.85416,                0.89245,                0.82043,                0.85708,                0.36881,                  1.884,                 0.8147,                0.98076,              0.0005347,              0.0005347,              0.0005347
                    144,                 1.3149,                0.67169,                0.85501,                0.92341,                0.82071,                0.87718,                 0.4479,                 1.6943,                0.75606,                 0.9413,              0.0005314,              0.0005314,              0.0005314
                    145,                  1.356,                0.69902,                0.85276,                0.89215,                0.87049,                0.89115,                0.44822,                 1.6607,                0.75248,                0.93156,              0.0005281,              0.0005281,              0.0005281
                    146,                 1.3377,                 0.6765,                0.85258,                0.92205,                0.84909,                0.88489,                0.42963,                 1.7137,                0.74023,                0.94315,              0.0005248,              0.0005248,              0.0005248
                    147,                 1.3309,                 0.6787,                 0.8547,                0.90568,                0.84117,                0.89123,                0.44243,                 1.7139,                0.73639,                0.94006,              0.0005215,              0.0005215,              0.0005215
                    148,                 1.3202,                0.68399,                0.85511,                0.96095,                0.85437,                0.92585,                0.44672,                 1.7293,                0.73843,                0.93869,              0.0005182,              0.0005182,              0.0005182
                    149,                 1.3057,                0.67806,                0.84814,                0.92278,                0.87053,                0.90528,                0.44279,                 1.7172,                0.75394,                0.93415,              0.0005149,              0.0005149,              0.0005149
